管理都道府県・整備局,管理市区町村,公園名,公園種別,所在地都道府県名,所在地市区町村名,供用開始年,供用済面積（m2）,都市計画決定,備考,lat,lon,type
栃木県,宇都宮市,川久保児童公園,街区公園,栃木県,宇都宮市,1983,216.0,未決定,,36.57633709,139.89243813,small
栃木県,宇都宮市,上戸祭４丁目つばき児童公園,街区公園,栃木県,宇都宮市,1983,158.0,未決定,,36.59568094,139.85768668,small
栃木県,宇都宮市,簗瀬２号児童公園,街区公園,栃木県,宇都宮市,1984,786.0,未決定,,36.53908321,139.89593733,small
栃木県,宇都宮市,緑３号児童公園,街区公園,栃木県,宇都宮市,1984,342.0,未決定,,36.5198025,139.85606007,small
栃木県,宇都宮市,緑４号児童公園,街区公園,栃木県,宇都宮市,1984,551.0,未決定,,36.52350049,139.85687802,small
栃木県,宇都宮市,つくし野児童公園,街区公園,栃木県,宇都宮市,1984,352.0,未決定,,36.53240792,139.91932104,small
栃木県,宇都宮市,岩曽２号児童公園,街区公園,栃木県,宇都宮市,1984,226.0,未決定,,36.5807451,139.91681512,small
栃木県,宇都宮市,岩曽３号児童公園,街区公園,栃木県,宇都宮市,1984,468.0,未決定,,36.58951677,139.91919801,small
栃木県,宇都宮市,富士見ヶ丘１号児童公園,街区公園,栃木県,宇都宮市,1984,637.0,未決定,,36.5908771,139.88839028,small
栃木県,宇都宮市,ローズタウン２号児童公園,街区公園,栃木県,宇都宮市,1984,669.0,未決定,,36.58450297,139.88889974,small
栃木県,宇都宮市,ローズタウン１号児童公園,街区公園,栃木県,宇都宮市,1984,702.0,未決定,,36.58392739,139.88760349,small
栃木県,宇都宮市,御幸ヶ原８号児童公園,街区公園,栃木県,宇都宮市,1984,223.0,未決定,,36.5892776,139.92396672,small
栃木県,宇都宮市,御幸ヶ原９号児童公園,街区公園,栃木県,宇都宮市,1984,375.0,未決定,,36.5846127,139.92250723,small
栃木県,宇都宮市,御幸ヶ原１０号児童公園,街区公園,栃木県,宇都宮市,1984,304.0,未決定,,36.58621571,139.92416263,small
栃木県,宇都宮市,野沢町１号児童公園,街区公園,栃木県,宇都宮市,1984,218.0,未決定,,36.60643323,139.86094833,small
栃木県,宇都宮市,駒生３号児童公園,街区公園,栃木県,宇都宮市,1985,458.0,未決定,,36.5746244,139.85090091,small
栃木県,宇都宮市,西川田６号児童公園,街区公園,栃木県,宇都宮市,1984,151.0,未決定,,36.50776099,139.85937142,small
栃木県,宇都宮市,西川田７号児童公園,街区公園,栃木県,宇都宮市,1984,152.0,未決定,,36.51740745,139.85349786,small
栃木県,宇都宮市,兵庫塚３号児童公園,街区公園,栃木県,宇都宮市,1984,171.0,未決定,,36.50427076,139.859171,small
栃木県,宇都宮市,兵庫塚４号児童公園,街区公園,栃木県,宇都宮市,1984,174.0,未決定,,36.49835556,139.85547007,small
栃木県,宇都宮市,鶴田３号児童公園,街区公園,栃木県,宇都宮市,1984,294.0,未決定,,36.55874449,139.8573915,small
栃木県,宇都宮市,鶴の宮児童公園,街区公園,栃木県,宇都宮市,1984,671.0,未決定,,36.54619709,139.85321253,small
栃木県,宇都宮市,ひまわり２号児童公園,街区公園,栃木県,宇都宮市,1984,159.0,未決定,,36.48887394,139.86101215,small
栃木県,宇都宮市,雀宮上町児童公園,街区公園,栃木県,宇都宮市,1984,180.0,未決定,,36.49653573,139.87735413,small
栃木県,宇都宮市,平松本町３号児童公園,街区公園,栃木県,宇都宮市,1984,765.0,未決定,,36.54648031,139.90827058,small
栃木県,宇都宮市,平松本町２号児童公園,街区公園,栃木県,宇都宮市,1984,856.0,未決定,,36.54839669,139.90869652,small
栃木県,宇都宮市,御幸本町２号児童公園,街区公園,栃木県,宇都宮市,1985,241.0,未決定,,36.57773573,139.9262024,small
栃木県,宇都宮市,西川田８号児童公園,街区公園,栃木県,宇都宮市,1985,404.0,未決定,,36.51853281,139.8532749,small
栃木県,宇都宮市,上欠団地つくし児童公園,街区公園,栃木県,宇都宮市,1985,773.0,未決定,,36.55534378,139.83116966,small
栃木県,宇都宮市,野沢町２号児童公園,街区公園,栃木県,宇都宮市,1985,158.0,未決定,,36.60416942,139.85958781,small
栃木県,宇都宮市,兵庫塚６号児童公園,街区公園,栃木県,宇都宮市,1985,204.0,未決定,,36.49479837,139.85599571,small
栃木県,宇都宮市,駒生４号児童公園,街区公園,栃木県,宇都宮市,1985,213.0,未決定,,36.57568426,139.84182618,small
栃木県,宇都宮市,宮の前児童公園,街区公園,栃木県,宇都宮市,1985,545.0,未決定,,36.57639636,139.87798499,small
栃木県,宇都宮市,北原３号児童公園,街区公園,栃木県,宇都宮市,1985,564.0,未決定,,36.55591885,139.84399244,small
栃木県,宇都宮市,上駒生１号児童公園,街区公園,栃木県,宇都宮市,1985,157.0,未決定,,36.59714927,139.84319425,small
栃木県,宇都宮市,西川田９号児童公園,街区公園,栃木県,宇都宮市,1985,165.0,未決定,,36.52712912,139.85034718,small
栃木県,宇都宮市,駒生５号児童公園,街区公園,栃木県,宇都宮市,1985,158.0,未決定,,36.58069827,139.8359917,small
