,station_g_cd,line,pref,mun,post,address,lat,lon,line_num,crime_rate,census_0~6age_rate,census_6~18age_rate,city_park_small,city_park_middle,city_park_large,med_hospital,med_clinic_all,med_clinic_pediatrics,school_primary,school_junior_high,education_nursery,shopping_supermarket,shopping_shopping_mall,shopping_convenience_store,shopping_baby_goods_store,restaurant_num,time_tokyo,transfer_tokyo,time_shinagawa,transfer_shinagawa,time_shinjuku,transfer_shinjuku,time_shibuya,transfer_shibuya,time_ikebukuro,transfer_ikebukuro,time_average,transfer_average
宮原,1132307,['JR高崎線'],埼玉県,さいたま市北区,331-0812,宮原町３丁目,35.940256,139.609455,1,5.597925351700291,0.09672206787239271,0.12958438991597362,18,0,0,0,26,5,2,0,10,4,0,1,1,142,31,0,38,0,34,0,39,0,29,0,34.2,0.0
宮山,1130905,['JR相模線'],神奈川県,寒川町,253-0106,寒川町宮山,35.382261,139.379639,1,4.276535380507343,0.1022927689594356,0.1477954144620811,4,0,0,2,1,0,0,1,1,1,0,0,0,19,60,1,54,1,81,1,61,1,71,1,65.4,1.0
宮崎台,2600312,['東急田園都市線'],神奈川県,川崎市宮前区,216-0033,宮崎２-１０-１２,35.587228,139.591313,1,2.1809090667304982,0.09138709548191158,0.14543120935600823,27,0,0,1,33,12,3,2,14,6,0,4,1,112,38,1,47,1,28,1,19,0,34,1,33.2,0.8
宿河原,1130313,['JR南武線'],神奈川県,川崎市多摩区,214-0021,宿河原,35.615429,139.579565,1,3.9923794581570617,0.07620355984891067,0.10288376878269968,14,0,0,2,20,4,2,1,8,4,0,2,0,84,47,1,41,1,23,1,30,1,41,1,36.4,1.0
寄居,1131808,"['東武東上線', '秩父鉄道秩父本線', 'JR八高線(高麗川～高崎)']",埼玉県,寄居町,369-1203,寄居町大字寄居,36.118013,139.194224,3,4.283911857046448,0.09128610966960729,0.11993455572853595,2,1,0,0,10,2,1,0,3,2,0,0,0,74,91,1,100,1,92,1,97,1,74,1,90.8,1.0
富士フイルム前,9931411,['伊豆箱根鉄道大雄山線'],神奈川県,南足柄市,250-0126,狩野,35.317657,139.109483,1,2.032050986006558,0.08140731503712163,0.1443725980731989,5,0,0,1,11,4,1,1,3,0,0,1,0,52,89,1,80,1,93,1,88,1,98,1,89.6,1.0
富士見ヶ丘,2400613,['京王井の頭線'],東京都,杉並区,168-0082,久我山五丁目1番25号,35.684805,139.607072,1,4.562081003976972,0.07518875602916504,0.09195335047691217,24,0,0,2,39,8,4,3,4,3,1,1,0,177,45,1,32,1,23,1,14,0,29,1,28.6,0.8
富士見台,2200108,['西武池袋線'],東京都,練馬区,176-0021,貫井３-７-４,35.735867,139.62969,1,4.674930236295969,0.07578053623043043,0.09323623605502894,19,0,0,0,42,16,6,3,5,2,0,1,0,236,26,1,43,1,19,1,22,0,9,0,23.8,0.6
富士見町(神奈川県),9932602,['湘南モノレール'],神奈川県,鎌倉市,247-0061,台２-１９-７,35.345389,139.529277,1,3.121044509562533,0.08428697949001658,0.11464119605742892,19,0,0,0,44,6,3,2,13,3,1,2,0,464,42,1,36,1,47,1,42,1,52,1,43.8,1.0
寒川,1130904,['JR相模線'],神奈川県,寒川町,253-0105,寒川町岡田,35.367579,139.387452,1,4.276535380507343,0.09814488366650644,0.14837374245254936,3,0,0,1,13,5,3,2,8,2,0,3,0,92,57,1,51,1,84,1,58,1,68,1,63.6,1.0
小伝馬町,2800308,['東京メトロ日比谷線'],東京都,中央区,103-0001,日本橋小伝馬町１１-１,35.690737,139.778433,1,12.52275415595362,0.053949167784225885,0.04367354459883764,14,0,0,1,179,18,5,2,14,3,6,19,1,3483,11,1,19,1,32,1,27,1,38,1,25.4,1.0
小作,1131510,['JR青梅線'],東京都,羽村市,205-0001,小作台,35.776048,139.302233,1,5.498540289792775,0.09056930879714,0.13543312949462244,23,0,0,0,16,3,2,1,11,1,0,1,0,195,62,0,73,1,47,0,56,1,57,1,59.0,0.6
小倉台,9933211,['千葉都市モノレール２号線'],千葉県,千葉市若葉区,264-0006,小倉台４-１７３１-１,35.627755,140.171873,1,5.838043924330479,0.07663555712964353,0.1265386253548919,18,0,0,1,11,3,1,1,1,1,0,2,0,60,62,1,69,1,97,1,91,2,84,2,80.6,1.4
小前田,9930616,['秩父鉄道秩父本線'],埼玉県,深谷市,369-1246,小前田,36.12895,139.222386,1,5.7019282252400725,0.27868410888170597,0.1818676180602142,1,0,0,0,4,1,1,1,4,1,0,1,0,37,86,1,95,1,87,1,92,1,82,1,88.4,1.0
