,code,都道府県,市区町村,総人口,刑法犯総数,犯罪率(件/1000人)
358,12349,千葉県,東庄町,14152,47,3.3210853589598646
359,12403,千葉県,九十九里町,16510,64,3.8764385221078133
360,12409,千葉県,芝山町,7431,48,6.459426725878078
361,12410,千葉県,横芝光町,23762,138,5.807591953539264
362,12421,千葉県,一宮町,11767,57,4.8440554091952075
363,12422,千葉県,睦沢町,7222,35,4.846302963168098
364,12423,千葉県,長生村,14359,79,5.501775889685911
365,12424,千葉県,白子町,11149,51,4.574401291595659
366,12426,千葉県,長柄町,7337,47,6.405887965108355
367,12427,千葉県,長南町,8206,56,6.824274920789666
368,12441,千葉県,大多喜町,9843,40,4.0638016864777
369,12443,千葉県,御宿町,7315,35,4.784688995215311
370,12463,千葉県,鋸南町,8022,22,2.7424582398404387
371,09201,栃木県,宇都宮市,518594,3477,6.704666849211522
372,09202,栃木県,足利市,149452,713,4.770762519069668
373,09203,栃木県,栃木市,159211,785,4.9305638429505505
374,09204,栃木県,佐野市,118919,654,5.499541704857928
375,09205,栃木県,鹿沼市,98374,484,4.919999186776994
376,09206,栃木県,日光市,83386,338,4.05343822704051
377,09208,栃木県,小山市,166760,1397,8.37730870712401
378,09209,栃木県,真岡市,79539,442,5.557022341241403
379,09210,栃木県,大田原市,75457,273,3.617954596657699
380,09211,栃木県,矢板市,33354,131,3.9275649097559517
381,09213,栃木県,那須塩原市,117146,566,4.831577689379065
382,09214,栃木県,さくら市,44901,212,4.721498407607848
383,09215,栃木県,那須烏山市,27047,58,2.1444152771102156
384,09216,栃木県,下野市,59431,476,8.00928808197742
385,09301,栃木県,上三川町,31046,244,7.859305546608259
386,09342,栃木県,益子町,23281,68,2.9208367338172763
387,09343,栃木県,茂木町,13188,35,2.653927813163482
388,09344,栃木県,市貝町,11720,39,3.3276450511945392
389,09345,栃木県,芳賀町,15189,61,4.016064257028112
390,09361,栃木県,壬生町,39951,216,5.406623113313809
391,09364,栃木県,野木町,25292,130,5.139965206389372
392,09384,栃木県,塩谷町,11495,15,1.3049151805132666
393,09386,栃木県,高根沢町,29639,124,4.183676912176525
394,09407,栃木県,那須町,24919,90,3.6117019142020146
395,09411,栃木県,那珂川町,16964,40,2.3579344494223062
396,08201,茨城県,水戸市,270783,1653,6.10451911678355
397,08202,茨城県,日立市,185054,605,3.2693159834426706
398,08203,茨城県,土浦市,140804,985,6.995539899434675
399,08204,茨城県,古河市,140946,708,5.0232003746115526
400,08205,茨城県,石岡市,76020,423,5.564325177584847
401,08207,茨城県,結城市,51594,344,6.667441950614412
402,08208,茨城県,龍ヶ崎市,78342,461,5.884455336856348
403,08210,茨城県,下妻市,43293,321,7.414593583258263
404,08211,茨城県,常総市,61483,387,6.294422848592293
405,08212,茨城県,常陸太田市,52294,153,2.92576586224041
406,08214,茨城県,高萩市,29638,114,3.8464133882178286
407,08215,茨城県,北茨城市,44412,110,2.4768080698910206
408,08216,茨城県,笠間市,76739,422,5.499159488656355
409,08217,茨城県,取手市,106570,533,5.001407525570047
410,08219,茨城県,牛久市,84317,455,5.396302050594779
411,08220,茨城県,つくば市,226963,1562,6.882179033586972
412,08221,茨城県,ひたちなか市,155689,726,4.663142547000751
413,08222,茨城県,鹿嶋市,67879,384,5.657125178626674
414,08223,茨城県,潮来市,29111,164,5.633609288585071
415,08224,茨城県,守谷市,64753,401,6.19276326965546
416,08225,茨城県,常陸大宮市,42587,155,3.639608331180877
417,08226,茨城県,那珂市,54276,230,4.237600412705432
418,08227,茨城県,筑西市,104573,574,5.4889885534506995
419,08228,茨城県,坂東市,54087,414,7.654334683010705
420,08229,茨城県,稲敷市,42810,317,7.404811959822472
421,08230,茨城県,かすみがうら市,42147,253,6.002799724772819
422,08231,茨城県,桜川市,42632,227,5.3246387689998125
423,08232,茨城県,神栖市,94522,611,6.464103594930281
424,08233,茨城県,行方市,34909,243,6.960955627488613
425,08234,茨城県,鉾田市,48147,248,5.150892059733732
426,08235,茨城県,つくばみらい市,49136,261,5.311787691305764
427,08236,茨城県,小美玉市,50911,293,5.755141325057453
428,08302,茨城県,茨城町,32921,242,7.350931016676286
429,08309,茨城県,大洗町,16886,108,6.395830865805992
430,08310,茨城県,城里町,19800,64,3.2323232323232323
431,08341,茨城県,東海村,37713,132,3.5001193222496223
432,08364,茨城県,大子町,18053,101,5.594638010302997
433,08442,茨城県,美浦村,15842,78,4.9236207549551825
434,08443,茨城県,阿見町,47535,344,7.23677290417587
435,08447,茨城県,河内町,9168,45,4.908376963350785
436,08521,茨城県,八千代町,22021,121,5.494755006584624
437,08542,茨城県,五霞町,8786,56,6.373776462554063
438,08546,茨城県,境町,24517,170,6.93396418811437
439,08564,茨城県,利根町,16313,44,2.6972353337828725
440,14100,神奈川県,横浜市,3724844,13567,3.642300187605172
441,14101,神奈川県,鶴見区,285356,1035,3.627048318591514
442,14102,神奈川県,神奈川区,238966,772,3.230585104157077
443,14103,神奈川県,西区,98532,875,8.880363739698778
444,14104,神奈川県,中区,148312,1390,9.37213441933222
445,14105,神奈川県,南区,194827,805,4.131870839257392
446,14153,神奈川県,南区,277280,805,2.903202538949798
447,14106,神奈川県,保土ヶ谷区,205493,652,3.1728574695975045
448,14107,神奈川県,磯子区,166229,541,3.254546438948679
449,14108,神奈川県,金沢区,202229,574,2.8383664064006644
450,14109,神奈川県,港北区,344172,1101,3.1989819043966388
451,14110,神奈川県,戸塚区,275283,914,3.3202195558752265
452,14111,神奈川県,港南区,215736,888,4.116141951273779
453,14112,神奈川県,旭区,247144,681,2.755478587382255
454,14113,神奈川県,緑区,180366,555,3.0770766108911882
